wine_type,citric acid,fixed acidity,volatile acidity,residual sugar,chlorides,sulphates,free sulfur dioxide,total sulfur dioxide,density,pH,alcohol,quality,quality_label
white wine,0.32,7.2,0.23,8.5,0.057999999999999996,0.4,47.0,186.0,0.9956,3.19,9.9,6,medium quality
red wine,0.58,11.0,0.3,2.1,0.054000000000000006,0.88,7.0,19.0,0.998,3.31,10.5,7,medium quality
white wine,0.36,6.8,0.21,18.1,0.046,0.48,32.0,133.0,1.0,3.27,8.8,5,low quality
white wine,0.33,6.5,0.2,1.5,0.039,0.65,36.0,110.0,0.99008,3.22,12.0,6,medium quality
white wine,0.3,7.3,0.34,9.4,0.057,0.44,34.0,178.0,0.99554,3.15,10.4,6,medium quality
white wine,0.28,5.8,0.25,11.1,0.055999999999999994,0.43,45.0,175.0,0.99755,3.42,9.5,5,low quality
white wine,0.3,8.2,0.24,2.3,0.05,0.5,23.0,106.0,0.99397,2.98,10.0,5,low quality
white wine,0.36,7.4,0.25,13.2,0.067,0.48,53.0,178.0,0.9976,3.01,9.0,6,medium quality
red wine,0.34,9.8,0.5,2.3,0.094,0.6,10.0,45.0,0.99864,3.24,9.7,7,medium quality
white wine,0.22,7.4,0.3,1.4,0.046,0.77,16.0,135.0,0.9928,3.08,10.4,7,medium quality
red wine,0.25,8.6,0.645,2.0,0.083,0.6,8.0,28.0,0.99815,3.28,10.0,6,medium quality
white wine,0.27,5.8,0.2,1.4,0.031,0.36,12.0,77.0,0.9905,3.25,10.9,7,medium quality
white wine,0.29,7.3,0.24,1.2,0.037000000000000005,0.7,37.0,97.0,0.9926,3.19,10.1,6,medium quality
white wine,0.25,7.2,0.23,18.8,0.085,0.51,19.0,111.0,1.00044,3.1,8.7,5,low quality
white wine,0.25,7.2,0.2,4.5,0.044000000000000004,0.36,31.0,109.0,0.9949,3.23,9.4,5,low quality
white wine,0.5,6.4,0.31,5.8,0.038,0.53,42.0,111.0,0.9918899999999999,3.18,11.9,7,medium quality
red wine,0.32,8.9,0.4,5.6,0.087,0.77,10.0,47.0,0.9991,3.38,10.5,7,medium quality
white wine,0.35,6.6,0.25,14.0,0.069,0.47,42.0,163.0,0.9990000000000001,3.56,9.8,5,low quality
white wine,0.24,7.2,0.26,7.0,0.023,0.49,19.0,130.0,0.9917600000000001,3.14,12.8,7,medium quality
red wine,0.13,7.2,0.53,2.0,0.057999999999999996,0.68,18.0,22.0,0.9957299999999999,3.21,9.9,6,medium quality
white wine,0.45,6.5,0.23,2.1,0.027000000000000003,0.52,43.0,104.0,0.99054,3.02,11.3,6,medium quality
red wine,0.0,6.5,0.885,2.3,0.166,0.51,6.0,12.0,0.99551,3.56,10.8,5,low quality
white wine,0.43,6.8,0.28,7.6,0.03,0.59,30.0,110.0,0.99164,3.08,12.5,8,high quality
white wine,0.42,7.0,0.17,1.0,0.075,0.62,19.0,71.0,0.99103,3.32,11.4,6,medium quality
white wine,0.24,6.3,0.1,6.0,0.039,0.49,25.0,107.0,0.99511,3.59,10.5,7,medium quality
red wine,0.24,7.2,0.34,2.0,0.071,0.58,30.0,52.0,0.9957600000000001,3.44,10.1,5,low quality
white wine,0.29,7.3,0.2,19.5,0.039,0.48,69.0,237.0,1.00037,3.1,9.2,6,medium quality
red wine,0.02,5.8,0.68,1.8,0.087,0.52,21.0,94.0,0.9944,3.54,10.0,5,low quality
white wine,0.36,7.0,0.16,2.6,0.028999999999999998,0.37,28.0,98.0,0.99126,3.11,11.2,7,medium quality
white wine,0.41,6.8,0.22,6.7,0.034,0.46,39.0,116.0,0.99245,3.18,11.5,6,medium quality
white wine,0.29,6.5,0.115,1.95,0.038,0.25,73.0,166.0,0.9890000000000001,3.12,12.9,7,medium quality
white wine,0.16,6.8,0.29,1.4,0.038,0.47,122.5,234.5,0.9922,3.15,10.0,4,low quality
white wine,0.43,8.2,0.27,1.6,0.035,0.5,31.0,128.0,0.9916,3.1,12.3,6,medium quality
white wine,0.27,7.4,0.22,1.6,0.057,0.44,45.0,98.0,0.9929899999999999,3.29,9.9,7,medium quality
white wine,0.34,5.1,0.26,6.4,0.034,0.41,26.0,99.0,0.99449,3.23,9.2,6,medium quality
white wine,0.25,6.5,0.29,2.5,0.142,0.44,8.0,111.0,0.9927,3.0,9.9,4,low quality
white wine,0.24,6.4,0.33,9.8,0.040999999999999995,0.47,29.0,109.0,0.9956,3.29,10.1,6,medium quality
white wine,0.32,6.0,0.34,3.8,0.044000000000000004,0.44,13.0,116.0,0.99108,3.39,11.8,7,medium quality
white wine,0.57,6.2,0.28,1.0,0.043,0.36,50.0,92.0,0.9900399999999999,3.17,11.5,6,medium quality
white wine,0.36,7.6,0.18,2.4,0.049,0.46,38.0,123.0,0.996,3.6,10.3,5,low quality
red wine,0.23,9.2,0.46,2.6,0.091,0.51,18.0,77.0,0.9992200000000001,3.15,9.4,5,low quality
red wine,0.37,10.7,0.4,1.9,0.081,0.65,17.0,29.0,0.99674,3.12,11.2,6,medium quality
white wine,0.32,9.4,0.3,10.7,0.028999999999999998,0.42,14.0,111.0,0.9958,2.85,10.6,5,low quality
white wine,0.26,6.3,0.2,12.7,0.046,0.35,60.0,143.0,0.99526,3.26,10.8,6,medium quality
red wine,0.5,11.5,0.45,3.0,0.078,1.11,19.0,47.0,1.0003,3.26,11.0,6,medium quality
red wine,0.4,9.3,0.39,2.6,0.073,0.75,10.0,26.0,0.9984,3.34,10.2,6,medium quality
white wine,0.28,6.3,0.37,6.3,0.034,0.46,45.0,152.0,0.9921,3.29,11.6,7,medium quality
white wine,0.25,6.1,0.26,2.9,0.047,0.64,289.0,440.0,0.9931399999999999,3.44,10.5,3,low quality
white wine,0.3,7.2,0.24,1.6,0.048,0.45,27.0,131.0,0.9933,3.25,10.5,5,low quality
white wine,0.26,6.0,0.19,1.4,0.039,0.41,30.0,104.0,0.98998,3.32,12.4,6,medium quality
red wine,0.4,9.0,0.39,1.3,0.044000000000000004,0.83,25.0,50.0,0.9947799999999999,3.2,10.9,6,medium quality
white wine,0.4,7.4,0.18,1.6,0.047,0.44,22.0,102.0,0.9937,3.28,10.7,5,low quality
white wine,0.46,8.0,0.23,1.5,0.03,0.47,30.0,125.0,0.9907,3.23,12.5,6,medium quality
white wine,0.37,7.0,0.18,1.5,0.043,0.5,16.0,104.0,0.99216,3.18,10.8,5,low quality
white wine,0.29,7.4,0.24,10.1,0.05,0.35,21.0,105.0,0.9962,3.13,9.5,5,low quality
red wine,0.53,11.6,0.42,3.3,0.105,0.95,33.0,98.0,1.001,3.2,9.2,5,low quality
white wine,0.32,5.9,0.33,8.1,0.038,0.36,9.0,34.0,0.9911,3.22,12.7,7,medium quality
red wine,0.28,8.7,0.63,2.7,0.096,0.63,17.0,69.0,0.99734,3.26,10.2,6,medium quality
white wine,0.52,6.3,0.34,6.3,0.047,0.44,63.0,186.0,0.9948100000000001,3.18,9.6,5,low quality
white wine,0.38,6.6,0.26,6.5,0.17,0.38,68.0,201.0,0.9956,3.19,9.4,6,medium quality
red wine,0.0,5.6,0.66,2.5,0.066,0.58,7.0,15.0,0.99256,3.52,12.9,5,low quality
white wine,0.32,7.1,0.34,2.0,0.051,0.5,29.0,130.0,0.99354,3.3,10.4,6,medium quality
white wine,0.28,6.6,0.31,1.4,0.035,0.4,28.0,107.0,0.98836,3.0,13.2,6,medium quality
white wine,0.25,6.4,0.16,1.4,0.057,0.44,21.0,125.0,0.9909100000000001,3.23,11.1,7,medium quality
red wine,0.08,7.0,0.78,2.0,0.09300000000000001,0.47,10.0,19.0,0.9956,3.4,10.0,5,low quality
white wine,0.39,6.8,0.32,9.6,0.026000000000000002,0.35,34.0,124.0,0.9928600000000001,3.18,12.1,6,medium quality
white wine,0.3,7.9,0.16,4.8,0.037000000000000005,0.44,37.0,171.0,0.9967,3.47,9.0,4,low quality
red wine,0.32,7.9,0.49,1.9,0.08199999999999999,0.55,17.0,144.0,0.9968,3.2,9.5,5,low quality
red wine,0.15,7.7,1.005,2.1,0.102,0.48,11.0,32.0,0.9960399999999999,3.23,10.0,5,low quality
white wine,0.29,6.3,0.27,12.2,0.044000000000000004,0.4,59.0,196.0,0.99782,3.14,8.8,6,medium quality
white wine,0.37,6.6,0.22,1.2,0.059000000000000004,0.55,45.0,199.0,0.993,3.37,10.3,7,medium quality
white wine,0.33,5.1,0.26,1.1,0.027000000000000003,0.43,46.0,113.0,0.98946,3.35,11.4,7,medium quality
white wine,0.57,6.4,0.25,1.0,0.062,0.4,21.0,122.0,0.9923799999999999,3.0,9.5,5,low quality
white wine,0.31,6.8,0.23,2.8,0.047,0.64,40.0,122.0,0.99126,3.06,10.9,7,medium quality
white wine,0.28,6.4,0.31,1.5,0.037000000000000005,0.51,12.0,119.0,0.9919,3.32,10.4,7,medium quality
white wine,0.47,6.6,0.37,6.5,0.061,0.45,23.0,150.0,0.9954,3.14,9.6,6,medium quality
white wine,0.28,6.6,0.18,3.3,0.044000000000000004,0.64,18.0,91.0,0.993,3.42,10.8,6,medium quality
white wine,0.32,6.0,0.26,3.8,0.028999999999999998,0.34,48.0,180.0,0.99011,3.15,12.0,6,medium quality
white wine,0.38,8.8,0.17,1.8,0.04,0.67,39.0,148.0,0.9942,3.16,10.2,6,medium quality
white wine,0.27,5.2,0.17,0.7,0.03,0.41,11.0,68.0,0.99218,3.3,9.8,5,low quality
white wine,0.21,5.8,0.29,2.6,0.025,0.79,12.0,120.0,0.9894,3.39,14.0,7,medium quality
white wine,0.48,7.5,0.33,19.45,0.048,0.4,55.0,243.0,1.001,2.95,8.8,5,low quality
white wine,0.38,9.1,0.33,1.7,0.062,0.7,50.5,344.0,0.9958,3.1,9.5,5,low quality
white wine,0.22,6.2,0.36,5.25,0.038,0.4,44.0,145.0,0.9918399999999999,3.22,11.2,6,medium quality
white wine,0.41,8.6,0.26,2.2,0.049,0.44,29.0,111.0,0.9941,2.96,10.0,5,low quality
white wine,0.36,5.7,0.18,1.2,0.046,0.68,9.0,71.0,0.9919899999999999,3.7,10.9,7,medium quality
white wine,0.28,6.7,0.28,4.5,0.051,0.58,14.0,92.0,0.99224,3.36,11.9,6,medium quality
red wine,0.44,7.8,0.32,2.7,0.10400000000000001,0.78,8.0,17.0,0.9973200000000001,3.33,11.0,7,medium quality
red wine,0.58,11.6,0.41,2.8,0.096,0.53,25.0,101.0,1.00024,3.13,10.0,5,low quality
white wine,0.34,9.2,0.27,10.5,0.043,0.41,49.0,228.0,0.9974,3.04,10.4,6,medium quality
white wine,0.26,7.0,0.18,1.4,0.044000000000000004,0.48,46.0,89.0,0.99256,3.39,10.7,7,medium quality
white wine,0.49,8.1,0.3,8.1,0.037000000000000005,0.3,26.0,174.0,0.9943,3.1,11.2,7,medium quality
white wine,0.49,7.7,0.27,3.8,0.037000000000000005,0.38,46.0,139.0,0.99116,3.04,11.6,6,medium quality
red wine,0.39,9.8,0.34,1.4,0.066,0.55,3.0,7.0,0.9947,3.19,11.4,7,medium quality
red wine,0.49,7.0,0.38,2.5,0.09699999999999999,0.77,33.0,85.0,0.9962,3.39,11.4,6,medium quality
white wine,0.24,6.7,0.39,2.7,0.017,0.37,22.0,80.0,0.9908399999999999,3.03,11.5,5,low quality
white wine,0.3,6.1,0.25,1.2,0.036000000000000004,0.56,42.0,107.0,0.991,3.34,10.8,7,medium quality
white wine,0.24,7.2,0.31,1.4,0.057,0.35,17.0,117.0,0.9928,3.16,10.5,5,low quality
white wine,0.27,6.9,0.45,4.7,0.035,0.36,17.0,80.0,0.9905799999999999,3.12,12.5,7,medium quality
white wine,0.16,7.2,0.47,5.9,0.048,0.49,14.0,125.0,0.9942799999999999,3.09,9.8,5,low quality
white wine,0.28,6.4,0.35,12.6,0.039,0.43,19.0,124.0,0.99539,3.2,10.6,6,medium quality
white wine,0.34,9.2,0.25,1.2,0.026000000000000002,0.37,31.0,93.0,0.9916,2.93,11.3,7,medium quality
white wine,0.16,5.7,0.27,9.0,0.053,0.37,32.0,111.0,0.99474,3.36,10.4,6,medium quality
red wine,0.41,9.1,0.3,2.0,0.068,0.85,10.0,24.0,0.99523,3.27,11.7,7,medium quality
white wine,0.38,9.1,0.59,1.6,0.066,0.38,34.0,182.0,0.9968,3.23,8.5,3,low quality
white wine,0.19,6.0,0.27,1.7,0.02,0.47,24.0,110.0,0.9898,3.32,12.6,7,medium quality
white wine,0.34,7.2,0.34,12.6,0.048,0.4,7.0,41.0,0.9942,3.19,11.7,5,low quality
white wine,0.26,6.7,0.23,1.4,0.06,0.56,33.0,154.0,0.9934,3.24,9.5,6,medium quality
red wine,0.04,6.6,0.52,2.2,0.069,0.63,8.0,15.0,0.9956,3.4,9.4,6,medium quality
white wine,0.28,6.0,0.27,4.8,0.063,0.71,31.0,201.0,0.9964,3.69,10.0,5,low quality
white wine,0.25,6.9,0.29,12.2,0.04,0.65,29.0,136.0,0.9955200000000001,3.05,10.4,6,medium quality
red wine,0.16,7.1,0.735,1.9,0.1,0.64,15.0,77.0,0.9966,3.27,9.3,5,low quality
white wine,0.24,7.1,0.53,0.8,0.028999999999999998,0.32,29.0,86.0,0.993,3.16,9.1,4,low quality
white wine,0.26,7.4,0.31,8.6,0.048,0.36,47.0,206.0,0.9964,3.26,9.1,5,low quality
white wine,0.34,6.9,0.23,4.0,0.047,0.52,24.0,128.0,0.9944,3.2,9.7,6,medium quality
white wine,0.46,7.7,0.35,11.8,0.08800000000000001,0.47,61.0,183.0,0.9978600000000001,2.86,9.0,5,low quality
white wine,0.33,8.2,0.29,9.1,0.036000000000000004,0.4,28.0,118.0,0.9953,2.96,10.9,7,medium quality
white wine,0.49,7.1,0.29,1.2,0.031,0.33,32.0,99.0,0.9893,3.07,12.2,6,medium quality
white wine,0.49,7.4,0.16,1.2,0.055,0.47,18.0,150.0,0.9917,3.23,11.2,6,medium quality
white wine,0.2,6.4,0.5,2.4,0.059000000000000004,0.4,19.0,112.0,0.9931399999999999,3.18,9.2,6,medium quality
red wine,0.49,7.0,0.49,5.6,0.06,0.76,26.0,121.0,0.9974,3.34,10.5,5,low quality
white wine,0.32,7.4,0.16,1.4,0.065,0.47,23.0,140.0,0.99134,3.06,11.4,6,medium quality
red wine,0.48,9.3,0.38,3.8,0.132,0.57,3.0,11.0,0.99577,3.23,13.2,6,medium quality
white wine,0.37,6.8,0.21,7.0,0.038,0.82,27.0,107.0,0.99206,2.98,11.5,6,medium quality
white wine,0.12,6.8,0.27,1.3,0.04,0.41,87.0,168.0,0.992,3.18,10.0,5,low quality
red wine,0.01,6.7,0.75,2.4,0.078,0.61,17.0,32.0,0.9955,3.55,12.8,6,medium quality
white wine,0.41,8.3,0.26,9.2,0.042,0.38,41.0,162.0,0.9944,3.1,12.0,7,medium quality
white wine,0.19,5.9,0.25,12.4,0.047,0.38,50.0,162.0,0.9973,3.35,9.5,5,low quality
white wine,0.26,7.3,0.25,7.2,0.048,0.37,52.0,207.0,0.99587,3.12,9.2,5,low quality
red wine,0.51,11.5,0.31,2.2,0.079,0.93,14.0,28.0,0.9982,3.03,9.8,6,medium quality
red wine,0.4,9.7,0.295,1.5,0.073,0.51,14.0,21.0,0.99556,3.14,10.9,6,medium quality
red wine,0.09,5.7,1.13,1.5,0.172,0.48,7.0,19.0,0.9940000000000001,3.5,9.8,4,low quality
white wine,0.38,9.0,0.245,5.9,0.045,0.35,52.0,159.0,0.995,2.93,10.2,6,medium quality
red wine,0.35,7.0,0.42,1.6,0.08800000000000001,0.55,16.0,39.0,0.9961,3.34,9.2,5,low quality
white wine,0.31,6.6,0.41,1.6,0.042,0.41,18.0,101.0,0.99195,3.13,10.5,5,low quality
white wine,0.49,7.1,0.25,3.0,0.03,0.39,30.0,96.0,0.9903,3.13,12.3,7,medium quality
white wine,0.34,6.0,0.24,1.0,0.036000000000000004,0.44,52.0,184.0,0.99097,3.44,11.45,6,medium quality
white wine,0.38,7.8,0.24,2.1,0.057999999999999996,0.55,14.0,167.0,0.9940000000000001,3.21,9.9,5,low quality
white wine,0.45,6.4,0.3,3.5,0.19699999999999998,0.39,76.0,180.0,0.9942,3.02,9.1,6,medium quality
red wine,0.08,5.4,0.835,1.2,0.046,0.85,13.0,93.0,0.9924,3.57,13.0,7,medium quality
white wine,0.38,7.5,0.13,1.1,0.023,0.53,42.0,104.0,0.9911200000000001,3.28,11.8,6,medium quality
white wine,0.32,6.6,0.16,1.4,0.035,0.64,49.0,186.0,0.9906,3.35,12.4,8,high quality
white wine,0.27,6.8,0.21,2.1,0.03,0.61,26.0,139.0,0.99,3.16,12.6,7,medium quality
white wine,0.27,6.0,0.33,0.8,0.185,0.62,12.0,188.0,0.9924,3.12,9.4,5,low quality
white wine,0.3,7.5,0.23,1.2,0.03,0.68,27.0,80.0,0.99192,3.05,10.5,5,low quality
white wine,0.33,6.0,0.3,2.1,0.042,0.42,31.0,127.0,0.98964,3.32,12.5,6,medium quality
red wine,0.03,6.5,0.88,5.6,0.079,0.5,23.0,47.0,0.99572,3.58,11.2,4,low quality
white wine,0.35,7.2,0.31,7.2,0.046,0.53,45.0,178.0,0.9955,3.14,9.7,5,low quality
red wine,0.45,10.0,0.41,6.2,0.071,0.49,6.0,14.0,0.99702,3.21,11.8,7,medium quality
white wine,0.64,7.6,0.23,12.9,0.033,0.53,54.0,170.0,0.998,3.0,8.8,5,low quality
white wine,0.33,6.3,0.19,10.1,0.063,0.41,63.0,133.0,0.99561,2.86,9.1,5,low quality
white wine,0.42,6.8,0.23,7.4,0.044000000000000004,0.48,56.0,189.0,0.9958,3.22,9.3,6,medium quality
red wine,0.03,7.2,0.58,2.3,0.077,0.52,7.0,28.0,0.9956799999999999,3.35,10.0,5,low quality
white wine,0.27,7.6,0.31,5.8,0.036000000000000004,0.54,23.0,109.0,0.9939899999999999,3.34,11.0,6,medium quality
white wine,0.28,6.7,0.16,2.5,0.046,0.51,40.0,153.0,0.9921,3.38,11.4,7,medium quality
white wine,0.45,9.8,0.93,8.6,0.052000000000000005,0.59,34.0,187.0,0.9994,3.12,10.2,4,low quality
white wine,0.27,6.5,0.3,4.0,0.038,0.6,37.0,97.0,0.99026,3.2,12.6,8,high quality
white wine,0.18,7.1,0.33,6.3,0.094,0.49,27.0,166.0,0.99474,2.9,9.5,5,low quality
red wine,0.21,6.9,0.84,4.1,0.07400000000000001,0.72,16.0,65.0,0.9984200000000001,3.53,9.25,6,medium quality
red wine,0.0,6.8,0.64,2.7,0.12300000000000001,0.63,15.0,33.0,0.9953799999999999,3.44,11.3,6,medium quality
white wine,0.29,6.7,0.24,14.9,0.053,0.52,55.0,136.0,0.99839,3.03,9.0,5,low quality
red wine,0.38,9.8,0.45,2.5,0.081,0.58,34.0,66.0,0.99726,3.15,9.8,5,low quality
white wine,0.3,6.7,0.12,5.2,0.048,0.44,38.0,113.0,0.9935200000000001,3.33,10.1,7,medium quality
white wine,0.7,8.6,0.37,12.15,0.039,0.73,21.0,158.0,0.9983,3.0,9.3,6,medium quality
white wine,0.56,7.8,0.445,1.0,0.04,0.43,8.0,84.0,0.9938,3.25,10.8,5,low quality
red wine,0.05,7.8,0.62,2.3,0.079,0.63,6.0,18.0,0.99735,3.29,9.3,5,low quality
white wine,0.39,7.1,0.39,11.1,0.034,0.52,25.0,204.0,0.99616,3.05,10.0,6,medium quality
white wine,0.29,6.7,0.53,4.3,0.069,0.59,20.0,114.0,0.9901399999999999,3.22,13.4,6,medium quality
white wine,0.31,6.2,0.25,3.2,0.03,0.31,32.0,150.0,0.9901399999999999,3.18,12.0,6,medium quality
white wine,0.24,7.7,0.28,2.4,0.044000000000000004,0.56,29.0,157.0,0.9931200000000001,3.27,10.6,6,medium quality
white wine,0.18,7.7,0.46,3.3,0.054000000000000006,0.51,18.0,143.0,0.99392,3.12,10.8,6,medium quality
white wine,0.28,7.4,0.34,12.1,0.049,0.49,31.0,149.0,0.99677,3.22,10.3,5,low quality
red wine,0.24,9.9,0.5,2.3,0.10300000000000001,0.52,6.0,14.0,0.9978,3.34,10.0,4,low quality
white wine,0.21,6.4,0.29,9.65,0.040999999999999995,0.34,36.0,119.0,0.99334,2.99,10.933333333333302,6,medium quality
white wine,0.74,6.4,0.42,12.8,0.076,0.58,48.0,209.0,0.9978,3.12,9.0,6,medium quality
white wine,0.37,8.0,0.23,9.6,0.054000000000000006,0.47,23.0,159.0,0.99795,3.32,9.8,4,low quality
white wine,0.3,7.3,0.34,1.3,0.057,0.51,25.0,173.0,0.9948,3.26,9.1,6,medium quality
red wine,0.04,6.8,0.61,1.5,0.057,0.6,5.0,10.0,0.99525,3.42,9.5,5,low quality
white wine,0.42,7.4,0.34,1.1,0.033,0.53,17.0,171.0,0.9917,3.12,11.3,6,medium quality
white wine,0.32,5.5,0.24,8.7,0.06,0.31,19.0,102.0,0.9940000000000001,3.27,10.4,5,low quality
red wine,0.33,7.6,0.49,1.9,0.07400000000000001,0.58,27.0,85.0,0.9970600000000001,3.41,9.0,5,low quality
white wine,0.5,6.2,0.32,6.5,0.048,0.45,61.0,186.0,0.9948,3.19,9.6,5,low quality
white wine,0.23,6.3,0.25,14.9,0.039,0.35,47.0,142.0,0.99705,3.14,9.7,6,medium quality
white wine,0.24,7.0,0.35,1.9,0.04,0.38,21.0,144.0,0.9923,3.35,11.0,5,low quality
white wine,0.38,7.4,0.23,8.6,0.052000000000000005,0.46,41.0,150.0,0.99534,3.06,10.3,5,low quality
white wine,0.29,7.0,0.22,8.9,0.05,0.46,24.0,90.0,0.99556,3.29,9.8,6,medium quality
red wine,0.32,8.4,0.36,2.2,0.081,0.72,32.0,79.0,0.9964,3.3,11.0,6,medium quality
red wine,0.51,11.5,0.18,4.0,0.10400000000000001,0.97,4.0,23.0,0.9996,3.28,10.1,6,medium quality
white wine,0.28,7.0,0.28,1.4,0.039,0.65,12.0,83.0,0.9917299999999999,3.18,11.1,5,low quality
white wine,0.29,5.2,0.285,5.15,0.035,0.34,64.0,138.0,0.9895,3.19,12.4,8,high quality
white wine,0.39,6.6,0.25,1.45,0.04,0.4,40.0,89.0,0.9911,3.35,11.4,7,medium quality
white wine,0.22,6.4,0.16,1.4,0.04,0.58,41.0,149.0,0.9933,3.49,10.0,6,medium quality
red wine,0.2,6.6,0.725,7.8,0.073,0.54,29.0,79.0,0.9977,3.29,9.2,5,low quality
white wine,0.25,5.1,0.14,0.7,0.039,0.43,15.0,89.0,0.9919,3.22,9.2,6,medium quality
white wine,0.71,7.5,0.17,11.8,0.038,0.46,52.0,148.0,0.9980100000000001,3.03,8.9,5,low quality
white wine,0.23,5.8,0.32,1.5,0.033,0.35,39.0,121.0,0.9887,2.96,12.0,5,low quality
white wine,0.5,5.8,0.36,1.0,0.127,0.45,63.0,178.0,0.9921200000000001,3.1,9.7,5,low quality
red wine,0.12,8.3,0.705,2.6,0.092,0.72,12.0,28.0,0.9994,3.51,10.0,5,low quality
red wine,0.43,8.2,0.2,2.5,0.076,0.81,31.0,51.0,0.99672,3.53,10.4,6,medium quality
white wine,0.22,6.5,0.41,4.8,0.052000000000000005,0.62,49.0,142.0,0.9946,3.14,9.2,5,low quality
white wine,0.23,7.7,0.38,10.8,0.03,0.41,28.0,95.0,0.99164,2.93,13.6,6,medium quality
white wine,0.49,8.1,0.2,8.1,0.051,0.52,51.0,205.0,0.9954,3.1,11.0,6,medium quality
white wine,0.31,6.6,0.26,4.8,0.138,0.38,41.0,168.0,0.9951,3.2,9.3,5,low quality
white wine,0.23,5.5,0.17,2.9,0.039,0.5,10.0,108.0,0.9924299999999999,3.28,10.0,5,low quality
white wine,0.26,6.9,0.32,2.3,0.03,0.42,11.0,103.0,0.99106,3.06,11.1,6,medium quality
red wine,0.47,10.0,0.35,2.0,0.061,0.52,6.0,11.0,0.99585,3.23,12.0,6,medium quality
red wine,0.21,7.7,0.64,2.2,0.077,0.45,32.0,133.0,0.9956,3.27,9.9,5,low quality
white wine,0.39,7.6,0.28,1.2,0.038,0.67,21.0,115.0,0.9940000000000001,3.16,10.0,6,medium quality
white wine,0.17,6.3,0.32,17.75,0.06,0.48,51.0,190.0,0.99916,3.13,8.8,6,medium quality
white wine,0.25,6.3,0.27,5.8,0.038,0.38,52.0,155.0,0.995,3.28,9.4,6,medium quality
red wine,0.38,8.8,0.3,2.3,0.06,0.72,19.0,72.0,0.9954299999999999,3.39,11.8,6,medium quality
red wine,0.18,7.5,0.65,7.0,0.08800000000000001,0.77,27.0,94.0,0.99915,3.38,9.4,5,low quality
white wine,0.27,7.6,0.3,10.6,0.039,0.3,31.0,119.0,0.99815,3.27,9.3,6,medium quality
white wine,0.38,7.2,0.15,1.2,0.038,0.43,18.0,110.0,0.9917,3.19,11.1,6,medium quality
white wine,0.47,7.2,0.32,5.1,0.044000000000000004,0.41,19.0,65.0,0.991,3.03,12.6,4,low quality
white wine,0.4,6.8,0.16,2.3,0.037000000000000005,0.42,18.0,102.0,0.9923,3.49,11.4,7,medium quality
white wine,0.38,6.6,0.17,1.5,0.032,0.55,28.0,112.0,0.9914,3.25,11.4,7,medium quality
red wine,0.09,6.2,0.56,1.7,0.053,0.6,24.0,32.0,0.9940200000000001,3.54,11.3,5,low quality
white wine,0.3,7.9,0.37,2.7,0.028999999999999998,0.59,64.0,158.0,0.9916,3.12,12.0,7,medium quality
red wine,0.47,10.5,0.24,2.1,0.066,0.9,6.0,24.0,0.9978,3.15,11.0,7,medium quality
white wine,0.23,7.8,0.17,1.7,0.028999999999999998,0.41,39.0,128.0,0.99272,3.37,10.7,7,medium quality
white wine,0.29,6.0,0.17,9.7,0.044000000000000004,0.36,33.0,98.0,0.99536,3.12,9.2,6,medium quality
white wine,0.3,7.7,0.18,1.2,0.046,0.38,49.0,199.0,0.99413,3.03,9.3,5,low quality
red wine,0.48,11.5,0.42,2.6,0.077,0.53,8.0,20.0,0.9985200000000001,3.09,11.0,5,low quality
white wine,0.24,6.6,0.295,1.6,0.039,0.61,29.0,140.0,0.9930399999999999,3.35,10.4,7,medium quality
white wine,0.28,7.0,0.12,6.3,0.057,0.44,17.0,103.0,0.9957,3.5,9.6,5,low quality
white wine,0.26,6.0,0.39,2.7,0.038,0.5,39.0,187.0,0.99325,3.41,10.8,6,medium quality
white wine,0.38,6.6,0.31,16.05,0.057999999999999996,0.6,16.0,165.0,0.9997,3.38,9.2,5,low quality
white wine,0.24,5.7,0.21,2.3,0.047,0.72,60.0,189.0,0.995,3.65,10.1,6,medium quality
white wine,0.3,7.1,0.26,2.0,0.031,0.49,13.0,128.0,0.9917,3.19,11.4,5,low quality
white wine,0.51,6.6,0.25,8.0,0.047,0.49,61.0,189.0,0.9960399999999999,3.22,9.2,5,low quality
white wine,0.34,8.9,0.34,1.6,0.055999999999999994,0.47,13.0,176.0,0.9946,3.14,9.7,5,low quality
white wine,0.42,8.4,0.19,1.6,0.047,0.65,9.0,101.0,0.9940000000000001,3.06,11.1,4,low quality
white wine,0.49,5.6,0.185,1.1,0.03,0.45,28.0,117.0,0.9918,3.55,10.3,6,medium quality
white wine,0.24,7.2,0.51,10.0,0.09300000000000001,0.47,35.0,197.0,0.9981,3.41,9.0,5,low quality
white wine,0.49,7.1,0.64,1.8,0.05,0.58,17.0,128.0,0.9946,3.31,10.6,4,low quality
white wine,0.28,6.2,0.3,1.6,0.036000000000000004,0.41,28.0,106.0,0.988245,3.14,13.3,6,medium quality
white wine,0.26,5.6,0.25,3.6,0.037000000000000005,0.5,18.0,115.0,0.9904,3.42,12.6,6,medium quality
white wine,0.49,7.6,0.29,9.6,0.03,0.38,45.0,197.0,0.9938,3.13,12.3,7,medium quality
white wine,0.32,6.8,0.27,1.5,0.044000000000000004,0.43,19.0,142.0,0.9921,3.1,9.9,6,medium quality
white wine,0.26,6.1,0.31,2.2,0.051,0.47,28.0,167.0,0.9926,3.37,10.4,6,medium quality
